timestamp,open,high,low,close,volume,pair,returns_1h,returns_4h,returns_24h,volatility_20,volume_ma_ratio,rsi_14,macd_line,macd_signal,macd_hist,ma_slope,price_zscore,bollinger_upper,bollinger_lower,bollinger_width,atr_14,obv_change
2026-03-13 16:45:00,71830.48,72100.0,71761.25,71885.57,592.72232,BTC/USDT,0.0007668052939635572,0.0007532911067100745,-0.00790180589835876,0.0045100348438635845,0.8098303145295425,42.56997860550534,-153.95965813545627,4.4390492335960055,-158.39870736905226,-0.002035745851773949,-1.0164187610507351,73831.75006935817,71243.82493064184,0.03567692409582142,525.9407142857162,-0.5886191059788879
2026-03-13 17:00:00,71885.56,72139.44,71879.55,72116.0,272.21519,BTC/USDT,0.0032055112034306,0.005406520726854991,-0.0025232913079854535,0.004530463748586798,0.36857128807379685,46.94017026637342,-144.98580706144276,-25.445922025411747,-119.53988503603101,-0.001813717691746701,-0.6202093186474824,73829.45364880787,71215.72135119211,0.03604025156460061,503.75714285714537,-0.44908084604337795
2026-03-13 17:15:00,72116.01,72249.99,71595.71,71659.82,750.9793,BTC/USDT,-0.006325642021188016,0.00373368578490485,-0.009217644984894746,0.004732600724509752,0.9757775002674676,40.38786261655347,-172.693179501337,-54.8953735205968,-117.79780598074021,-0.001940271177041771,-1.403527086216675,73847.35221011702,71122.58978988296,0.03759072236138533,525.8042857142874,-0.457145216477287
2026-03-13 17:30:00,71659.81,71688.1,71058.82,71198.81,409.32864,BTC/USDT,-0.006433312280159309,-0.008794037183931347,-0.015373566874400502,0.00491463966357027,0.5263621863327752,35.06141300349037,-229.2089478858543,-89.75808839364831,-139.45085949220598,-0.0020868021035070376,-2.0098133727385536,73906.41465571566,70949.19934428434,0.04082983364982079,545.4550000000017,-0.6451413838373734
2026-03-13 17:45:00,71198.8,71277.02,70914.09,71037.93,457.17761,BTC/USDT,-0.0022595883273892614,-0.011791518103007492,-0.01648773993538888,0.004644910594779357,0.5943178170868315,33.40570412376691,-283.7093482111959,-128.54834035715783,-155.16100785403808,-0.0029649103592321695,-2.0357564270937063,73932.3299525129,70748.60404748711,0.0440103034588619,531.5600000000019,-0.6974092748741423
2026-03-13 18:00:00,71037.93,71238.5,70937.91,71218.06,223.02625,BTC/USDT,0.002535687624906968,-0.01245132841533092,-0.016596796465064956,0.004712067795417451,0.2913915158932198,36.99335045823535,-308.806592361143,-164.59999075795486,-144.20660160318812,-0.0038206893505325855,-1.6141633071147767,73913.94707073069,70609.44892926932,0.04572959441752077,483.47785714285834,-0.5994190809927319
2026-03-13 18:15:00,71218.06,71258.9,70841.23,71195.34,311.63117,BTC/USDT,-0.00031902020358320904,-0.006481735510918241,-0.016803947956247622,0.004610519780527495,0.43573978738043434,36.724607731092554,-326.76293359130796,-197.0325793246255,-129.73035426668247,-0.004881245723959932,-1.52013356955619,73847.23256387898,70493.380436121,0.046471357687222395,468.05714285714413,-0.5542775336584376
2026-03-13 18:30:00,71195.33,71350.94,71178.54,71238.6,91.80396,BTC/USDT,0.0006076240383150466,0.0005588576550648039,-0.015253775499159516,0.00450362754084186,0.13492955866410622,37.65333701182341,-333.6565578190348,-224.35737502350736,-109.29918279552743,-0.0057760652605105805,-1.3623610670799233,73710.77142377822,70426.62357622177,0.045569685057183826,443.08571428571616,-0.420999718544102
2026-03-13 18:45:00,71238.59,71249.93,71008.2,71055.45,111.72661,BTC/USDT,-0.0025709376658161753,0.00024662880801851195,-0.023758829633633294,0.0044583744351930936,0.1742224796490005,35.29160409945146,-349.8654479368415,-249.4589896061742,-100.4064583306673,-0.006605690244778283,-1.4908344761518886,73531.80146165335,70373.22053834665,0.04389813335780175,433.63000000000153,-0.22531122796637992
2026-03-13 19:00:00,71055.45,71277.84,71006.19,71224.27,118.99035,BTC/USDT,0.0023758909415112495,8.719698346193461e-05,-0.021556475418664123,0.004488490083503236,0.19372332824972407,39.08438372216441,-345.1105276822782,-268.58929722139504,-76.52123046088315,-0.0069852433835536284,-1.1928639177367613,73269.10707359771,70408.20592640228,0.03982397899096887,401.8485714285728,-0.34939015023754705
